Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f9626c87e001626e7566ef619c;2c92c0f965dc30640165ed2cec9f38be;2250;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;63d94895d7d0408f82d7714c902ff3ec;2c92c0f965dc30640165ed2cec7538b8;;1;;Recurring;A-S00017395;C-00055855
2c92c0f9626c87e001626e7566ef619c;2c92c0f965e66fd10165f19b5ec70e61;500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;7e8762fc375640ccb515fbdf1880a6ea;2c92c0f965e66fd10165f19b5e970e5b;;1;;Recurring;A-S00017402;C-00055862
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f2121e0165fc8937cf1783;5500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;bbea9610975c42f1b630475332d3b788;2c92c0f965f2121e0165fc8937b21774;;1;;Recurring;A-S00017413;C-00055879
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f2121e0165fc8937cf1783;5500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;47874acfcfe045379d683898993adc6f;2c92c0f965f2121e0165fc8937b21774;;1;;Recurring;A-S00017413;C-00055879
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f2121e0165fc8937d01784;1571.5;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;2da56dde152146ed96769c4a6b95887d;2c92c0f965f2121e0165fc8937b21774;;1;;Recurring;A-S00017413;C-00055879
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f212210165f28cfc28425f;1571.5;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;3c70558ebdc6425f87b7416897a13fe4;2c92c0f965f212210165f28cfc7e4263;;1;;Recurring;A-S00017404;C-00055864
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f2122d01660b240fed39f9;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;13a773d0b9194763a49ce5873f813ce1;2c92c0f965f2122d01660b240faf39f2;;1;;Recurring;A-S00017440;C-00055922
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f2122d01660b240fed39f9;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;de760dca0ba44585bdd463df120c8c57;2c92c0f965f2122d01660b240faf39f2;;1;;Recurring;A-S00017440;C-00055922
2c92c0f9626c87e001626e7566ef619c;2c92c0f965f2122d01660b240fed39f9;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;b36a127b59bf496baf857dce314d0cb8;2c92c0f965f2122d01660b240faf39f2;;1;;Recurring;A-S00017440;C-00055922
2c92c0f9626c87e001626e7566ef619c;2c92c0f9660fc4d70166155cd538777f;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;c6be8a1c0c10492486679c6b97f1bc8b;2c92c0f9660fc4d70166155cd51b7779;;1;;Recurring;A-S00017450;C-00055946
